               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088339,            0.032688,            0.023445,             0.12121,             0.29856,             0.13578,            0.036034,            0.075771,            0.023668,            0.012613,             0.07033,           0.0032967,           0.0032967
                   1,            0.069759,            0.024906,           0.0091414,             0.28873,             0.37566,             0.24367,            0.078933,            0.069709,            0.018689,           0.0071423,            0.039673,           0.0059737,           0.0059737
                   2,            0.064457,            0.020718,           0.0064654,             0.36884,             0.39495,             0.30936,            0.095476,            0.068288,             0.01657,           0.0067746,           0.0083569,           0.0079906,           0.0079906
                   3,            0.059188,            0.020079,           0.0065717,             0.56108,             0.44158,              0.4227,             0.15612,              0.0586,             0.01892,           0.0070969,             0.00703,             0.00703,             0.00703
                   4,            0.054847,            0.019158,           0.0052423,             0.53856,             0.51025,             0.50417,             0.21219,            0.054755,            0.016459,           0.0054423,             0.00703,             0.00703,             0.00703
                   5,            0.051047,            0.018961,           0.0047977,             0.60976,             0.52127,             0.52277,             0.23318,            0.053105,            0.015925,           0.0047029,             0.00604,             0.00604,             0.00604
                   6,            0.048143,            0.018074,           0.0042437,             0.61982,             0.55679,             0.56162,             0.24514,            0.050919,            0.015591,           0.0041479,             0.00505,             0.00505,             0.00505
                   7,            0.046011,            0.017585,           0.0038671,             0.62659,             0.57653,              0.5677,             0.25396,            0.050772,            0.015457,           0.0041808,             0.00406,             0.00406,             0.00406
                   8,            0.044149,            0.017056,           0.0032728,             0.63948,             0.59941,             0.58343,             0.26058,            0.049549,            0.015016,           0.0041799,             0.00307,             0.00307,             0.00307
                   9,            0.042483,            0.016363,           0.0029818,             0.64441,             0.58569,             0.58665,             0.26539,            0.049045,            0.015277,           0.0038651,             0.00208,             0.00208,             0.00208
